GLOBAL ID,REPORTING YEAR,FACILITY PLACE ID,SITE NAME,SITE TYPE,LEAD AGENCY,FAC PRODUCE REC WATER,SOLELY REC TREAT,SUBMIT DATE,FACILITY TYPE,LATITUDE DECIMAL DEGREES,LONGITUDE DECIMAL DEGREES
WDR100035071,2019,255446,San Diego Zoo's Wild Animal Park,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,4/29/2020,WWTP RW,33.09513,-116.9972
WDR100036069,2019,251653,Rancho Del Campo WPCF,* WDR Site,SAN DIEGO RWQCB (REGION 9),N,NaN,4/7/2020,WWTP,32.603591,-116.47027
NPD100051495,2019,214647,Live Oak City WWTP,* NPDES,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,8/13/2020,WWTP,39.275407,-121.661039
WDR100034298,2019,257379,Skyline Ranch Country Club,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,9/3/2020,WWTP RW,33.20739,-116.94956
WDR100032821,2019,255735,Santa Rosa WRF-Recycled WTR,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,3/10/2020,WWTP RW,33.530592,-117.188652
WDR100029631,2019,212648,California City WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,3/13/2020,WWTP RW,35.14196,-117.935665
WDR100033139,2019,215910,Coulterville WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,4/28/2020,WWTP,37.69202,-120.19462
NPD100051638,2019,220792,Dublin San Ramon SD WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,6/30/2020,WWTP RW,37.68709,-121.91506
NPD100051934,2019,237195,City of Livermore Water Reclamation Plant,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/14/2020,WWTP RW,37.69009,-121.80767
WDR100037350,2019,269588,USMC MWTC Coleville Housing WWTF,* WDR Site,LAHONTAN RWQCB (REGION 6T),N,NaN,7/1/2020,WWTP,38.589558,-119.517724
WDR100035948,2019,257831,South Bay WRP,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,4/29/2020,WWTP RW,32.545457,-117.069647
WDR100034559,2019,256483,Soledad Sewage Treatment Plant,* WDR Site,CENTRAL COAST RWQCB (REGION 3),Y,N,8/10/2020,WWTP RW,36.41905,-121.33814
NPD100051630,2019,255632,Santa Cruz WWTP,* NPDES,CENTRAL COAST RWQCB (REGION 3),N,NaN,5/7/2020,WWTP,36.961587,-122.030999
WDR100035736,2019,247464,Palo Cedro WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5R),N,NaN,8/10/2020,WWTP,40.52617,-122.25293
WDR100031419,2019,232625,Inyokern CSD WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,6/4/2020,WWTP,35.659069,-117.81809
NPD100051500,2019,273191,Stallion Springs WWTF,* NPDES,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,8/7/2020,WWTP,35.08252,-118.637492
NPD100051542,2019,213432,Cascade Shores WWTP,* NPDES,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,4/15/2020,WWTP,39.25995,-120.90683
WDR100031582,2019,228104,Guadalupe WWTP,* WDR Site,CENTRAL COAST RWQCB (REGION 3),Y,N,4/22/2020,WWTP RW,34.96174,-120.5899
WDR100037623,2019,225579,Furn Crk Inn & Ranch Pack STP,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,6/3/2020,WWTP RW,36.455294,-116.873628
WDR100037291,2019,274458,Yermo Domestic WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,4/22/2020,WWTP,34.894663,-116.864918
WDR100035763,2019,212603,Calico Ghost Town REC Fac WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,5/27/2020,WWTP,34.940698,-116.868236
WDR100030395,2019,234123,June Lake PUD STP,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,3/27/2020,WWTP,37.875698,-119.092331
WDR100031729,2019,230429,Hilton Creek CSD Package STP,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,8/5/2020,WWTP,37.570569,-118.760306
WDR100028598,2019,219661,Desert Lake CSD WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,4/28/2020,WWTP,35.008962,-117.70697
NPD100051626,2019,255180,San Andreas SD WWTP,* NPDES,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,4/3/2020,WWTP,38.210833,-120.705556
WDR100031225,2019,273148,Hume Lake WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,4/30/2020,WWTP RW,36.78771,-118.91349
WDR100036549,2019,253887,Woodlake Sentinel Butte Recycling Project,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,4/28/2020,WWTP RW,36.418277,-119.098889
NPD100051573,2019,222132,EBMUD WPCP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/29/2020,WWTP RW,37.823578,-122.303901
NPD100051516,2019,255802,Sausalito Marin City STP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,7/27/2020,WWTP,37.84354,-122.4771
NPD100051532,2019,239497,Marin CSD 5 - Tiburon WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,5/18/2020,WWTP,NaN,NaN
NPD100051616,2019,213875,Central Contra Costa SD WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,6/3/2020,WWTP RW,38.000327,-122.068798
WDR100026834,2019,241649,Mountain View Villas,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,5/5/2020,WWTP,34.462373,-117.19198
WDR100029136,2019,259185,CIM WWTP,* WDR Site,SANTA ANA RWQCB (REGION 8),N,NaN,6/23/2020,WWTP,33.982673,-117.688912
NPD100051593,2019,205477,American Canyon Water Reclamation Facility (WRF) (formerly WWTP),* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/27/2020,WWTP RW,38.18883,-122.2782
NPD100051519,2019,252119,Red Bluff WW Reclamation Plant,* NPDES,CENTRAL VALLEY RWQCB (REGION 5R),Y,N,3/17/2020,WWTP RW,40.162944,-122.221228
WDR100036550,2019,273140,Woodlake WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,4/28/2020,WWTP RW,36.40101,-119.09892
WDR100029564,2019,247731,Pasadera WWTP,* WDR Site,CENTRAL COAST RWQCB (REGION 3),Y,N,6/29/2020,WWTP RW,36.57046,-121.77372
WDR100030311,2019,201068,Madera Cnty #2-Bass Lake WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,4/13/2020,WWTP,37.3393,-119.58306
WDR100033554,2019,273124,Maricopa Wastewater Disposal Facility,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/29/2020,WWTP,35.060984,-119.383243
WDR100035375,2019,252315,Sas Regional Reclamation Facility,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,4/29/2020,WWTP,38.44865,-121.46368
WDR100035996,2019,239771,Roseville City Master Reclamation Permit,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),Y,N,4/2/2020,WWTP RW,38.72976,-121.316276
WDR100035936,2019,253293,Rosamond WTF (Ponds),* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,4/14/2020,WWTP,34.83554,-118.14903
WDR100033632,2019,263044,Tecopa Hot Springs Resort LLC,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,6/22/2020,WWTP,35.869592,-116.234611
NPD100051598,2019,230132,Heritage Ranch WWTP,* NPDES,CENTRAL COAST RWQCB (REGION 3),N,NaN,4/24/2020,WWTP,35.722487,-120.88405
WDR100032584,2019,228046,Groundwater Replenishment System - Advanced WTF,* WDR Site,SANTA ANA RWQCB (REGION 8),Y,Y,4/30/2020,RWP,33.69319,-117.94512
WDR100029738,2019,216135,Crestline SD Three WTF's,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,4/28/2020,WWTP RW,34.254284,-117.270822
WDR100027318,2019,208769,Barstow Wastewater Treatment Plant,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,3/5/2020,WWTP RW,34.884568,-116.980925
NPD100051568,2019,274410,Yountville / CA Vets Home WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/22/2020,WWTP RW,38.393512,-122.355478
WDR100026819,2019,273104,Arvin WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,4/8/2020,WWTP RW,35.1864,-118.84748
WDR100030590,2019,236181,Lake Arrowhead CSD WTFS,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,6/9/2020,WWTP RW,34.286859,-117.219578
WDR100028561,2019,222916,Escalon Treatment Plant,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,3/31/2020,WWTP,37.758961,-121.00343
WDR100033249,2019,243845,Napa Berryessa WTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,8/4/2020,WWTP,38.509,-122.197
WDR100037286,2019,244056,Nebo Domestic WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,4/22/2020,WWTP,34.876936,-116.938532
WDR100036649,2019,222326,Edwards AFB WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,6/30/2020,WWTP RW,34.878627,-117.889736
WDR100035704,2019,208771,Barstow/Daggett Airport WTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,8/26/2020,WWTP,34.864554,-116.784148
WDR100031418,2019,263043,Tecopa Hot Springs Park WWTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,7/8/2020,WWTP,35.872813,-116.234545
WDR100035646,2019,273133,Sanger WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/9/2020,WWTP,36.692234,-119.542967
WDR100035448,2019,237366,Lopez Recreation Area,* WDR Site,CENTRAL COAST RWQCB (REGION 3),N,NaN,4/29/2020,WWTP,35.17068,-120.53138
WDR100033840,2019,273126,Mendota WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,5/15/2020,WWTP,36.76875,-120.36786
WDR100030159,2019,273174,Lamont WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,3/31/2020,WWTP RW,35.20866,-118.93225
WDR100036865,2019,213791,Cedar Grove WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,9/4/2020,WWTP,36.4907,-118.82555
WDR100030376,2019,273179,Lost Hills WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/18/2020,WWTP,35.6157,-119.68717
WDR100029380,2019,272716,Wilseyville Wastewater Treatment Plant,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,6/29/2020,WWTP,38.37459,-120.50968
NPD100051494,2019,237315,Lompoc City Regional WRP,* NPDES,CENTRAL COAST RWQCB (REGION 3),Y,N,8/5/2020,WWTP RW,34.66213,-120.483039
WDR100035838,2019,210116,Boulder Creek Golf & Cntry Club WWTP,* WDR Site,CENTRAL COAST RWQCB (REGION 3),N,NaN,4/6/2020,WWTP,37.15394,-122.16183
NPD100051503,2019,247457,Palo Alto Regional WQCP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/21/2020,WWTP RW,37.451426,-122.10817
WDR100000593,2019,260064,San Clemente Island WWTP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,9/9/2020,WWTP RW,32.99722,-118.54583
NPD100051493,2019,232297,Imperial City WWTP,* NPDES,COLORADO RIVER BASIN RWQCB (REGION 7),N,NaN,3/27/2020,WWTP,32.853917,-115.56275
WDR100028875,2019,224125,Fall River Mills STP,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5R),N,NaN,5/13/2020,WWTP,41.012142,-121.442797
NPD100051933,2019,229882,Hayward WPCF,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/24/2020,WWTP RW,37.633265,-122.131435
WDR100039533,2019,236190,Lake California WWTP,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5R),Y,N,3/16/2020,WWTP RW,40.33475,-122.21147
WDR100046441,2019,209551,City of Biggs WWTP,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5R),N,NaN,7/1/2020,WWTP,39.413736,-121.710953
WDR100032712,2019,251548,Ralph W Chapman WRF,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,4/30/2020,WWTP RW,32.72827,-116.94724
NPD100051485,2019,225526,FSSD Subregional WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,6/30/2020,WWTP RW,38.22733,-122.08366
NPD100051585,2019,248087,PETALUMA ELLIS CREEK WATER RECYCLING FACILITY (NPDES Permit),* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/13/2020,WWTP RW,38.233544,-122.621527
NPD100051577,2019,213889,Central Marin San. Agcy. WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/27/2020,WWTP RW,37.948581,-122.497326
WDR100035245,2019,262996,TCWD Robinson Ranch WRF,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,7/24/2020,WWTP RW,33.64534,-117.56208
WDR100033461,2019,241188,Mojave STP,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,4/2/2020,WWTP,35.030014,-118.146276
WDR100031398,2019,230011,Helendale Silverlakes STP,* WDR Site,LAHONTAN RWQCB (REGION 6V),Y,N,4/17/2020,WWTP RW,34.775366,-117.328502
WDR100027049,2019,206651,Atascadero State Hospital,* WDR Site,CENTRAL COAST RWQCB (REGION 3),N,NaN,3/19/2020,WWTP,35.46305,-120.63514
NPD100051601,2019,255420,San Mateo WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,3/30/2020,WWTP,37.56945,-122.29668
WDR100035884,2019,255218,City of San Clemente WRP,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,6/17/2020,WWTP RW,33.435947,-117.627018
WDR100037363,2019,237543,Lower Moosa Canyon Recl Facil,* WDR Site,SAN DIEGO RWQCB (REGION 9),N,NaN,5/27/2020,WWTP,33.254895,-117.152751
WDR100036120,2019,272964,Woodlands Mutual Water Company,* WDR Site,CENTRAL COAST RWQCB (REGION 3),Y,N,5/27/2020,WWTP RW,35.02056,-120.55978
NPD100051572,2019,215106,City of Colfax WWTP,* NPDES,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,4/8/2020,WWTP,39.08429,-120.94485
NPD100051484,2019,259174,Corona WWRF #3,* NPDES,SANTA ANA RWQCB (REGION 8),Y,N,6/29/2020,WWTP RW,33.819528,-117.507631
NPD100051588,2019,217831,City of PINOLE WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,6/23/2020,WWTP,38.01292,-122.29663
WDR100031539,2019,232656,Ironhouse WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),Y,N,4/14/2020,WWTP RW,37.99995,-121.7109
WDR100001505,2019,268043,Encinal Canyon Water Recycling Plant on Tract 46277,* WDR Site,LOS ANGELES RWQCB (REGION 4),N,NaN,6/29/2020,WWTP,34.051389,-118.871667
WDR100033117,2019,241907,Murphys WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,3/17/2020,WWTP,38.12669,-120.4616
NPD100051547,2019,271805,Chico Water Pollution Control Plant,* NPDES,CENTRAL VALLEY RWQCB (REGION 5R),N,NaN,7/20/2020,WWTP,39.700058,-121.908067
WDR100001876,2019,260219,San Nicolas Island WWTP,* WDR Site,LOS ANGELES RWQCB (REGION 4),N,NaN,7/1/2020,WWTP,33.254094,-119.480058
WDR100037354,2019,269591,USMC-MWTC WWTC,* WDR Site,LAHONTAN RWQCB (REGION 6T),N,NaN,7/1/2020,WWTP,38.35542,-119.5204
WDR100034474,2019,273136,Tehachapi WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/10/2020,WWTP,35.138333,-118.455556
WDR100031421,2019,214640,Ione WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),Y,N,7/22/2020,WWTP RW,38.353889,-120.958333
WDR100037340,2019,266720,Tuolumne STP,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,4/17/2020,WWTP RW,37.955025,-120.246063
WDR100028606,2019,212853,Camanche South Shore WWTP,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),N,NaN,4/8/2020,WWTP,38.21259,-120.91144
NPD100051513,2019,256499,"SF-SE Water Pollution Control Plant, N-Point & Bayside",* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),N,NaN,4/24/2020,WWTP,37.740805,-122.390454
NPD100052060,2019,241540,3A Treatment Plant,* NPDES,SAN DIEGO RWQCB (REGION 9),Y,N,6/30/2020,WWTP RW,33.570296,-117.673718
WDR100030055,2019,237325,Lone Pine WWTF,* WDR Site,LAHONTAN RWQCB (REGION 6V),N,NaN,4/1/2020,WWTP,36.605982,-118.044725
NPD100051582,2019,255380,San Luis Obispo WWTP,* NPDES,CENTRAL COAST RWQCB (REGION 3),Y,N,4/17/2020,WWTP RW,35.256328,-120.673299
WDR100036562,2019,273196,Wasco WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,6/23/2020,WWTP RW,35.5929,-119.33306
NPD100051518,2019,246217,Oro Loma/Castro Valley SD WPCP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,4/24/2020,WWTP RW,37.669626,-122.157253
WDR100032629,2019,255468,San Vicente Wastewater Treatment Plant,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,6/17/2020,WWTP RW,32.99921,-116.84008
WDR100032865,2019,247809,Pauma Valley Treatment Plant,* WDR Site,SAN DIEGO RWQCB (REGION 9),N,NaN,3/27/2020,WWTP,33.3129,-117.00436
WDR100028880,2019,224137,Fallbrook Water Reclamation Plant,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,4/8/2020,WWTP RW,33.36712,-117.25798
WDR100027080,2019,273209,Bakersfield WWTP #3,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,4/29/2020,WWTP RW,35.281561,-119.074431
WDR100032679,2019,726883,Pixley WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,7/23/2020,WWTP RW,35.95744,-119.30914
WDR100030774,2019,234841,Kerman WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,11/18/2020,WWTP,36.712629,-120.201032
WDR100033900,2019,208746,BARRET COVE Recreation Area,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/28/2020,WWTP,37.64532,-120.29537
WDR100033904,2019,240004,McClure Pt Rec Area,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/28/2020,WWTP,37.5252,-120.322
WDR100035633,2019,255190,San Ardo STP,* WDR Site,CENTRAL COAST RWQCB (REGION 3),N,NaN,6/16/2020,WWTP,36.01722,-120.91543
WDR100033849,2019,255535,Sandy Mush WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,8/16/2020,WWTP,37.18582,-120.58241
WDR100027479,2019,213580,"CCC @ Susanville, CSP-LC WTF",* WDR Site,LAHONTAN RWQCB (REGION 6T),N,NaN,3/20/2020,WWTP,40.4021,-120.51432
NPD100051565,2019,244566,North San Mateo County Sanitation District WWTP,* NPDES,SAN FRANCISCO BAY RWQCB (REGION 2),Y,N,8/12/2020,WWTP RW,37.70279,-122.48501
WDR100035192,2019,257850,SOCWA Coastal TP,* WDR Site,SAN DIEGO RWQCB (REGION 9),Y,N,6/30/2020,WWTP RW,33.54587,-117.716339
WDR100034253,2019,209509,Big Creek Powerhouse No 1 WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,6/26/2020,WWTP RW,37.202222,-119.243889
WDR100029647,2019,726877,Caruthers WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,4/8/2020,WWTP,36.5364,-119.85251
WDR100028710,2019,201082,Fresno Cnty #44A-Millerton Lake MHV WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/10/2020,WWTP,36.98773,-119.71181
WDR100028547,2019,273169,Earlimart WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/29/2020,WWTP,35.879,-119.37149
WDR100035458,2019,260176,San Luis Hills WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,6/23/2020,WWTP RW,37.05556,-121.01324
WDR100035146,2019,255306,San Jerardo WWTP,* WDR Site,CENTRAL COAST RWQCB (REGION 3),N,NaN,6/29/2020,WWTP,36.64221,-121.53721
WDR100030805,2019,273121,Lindsay WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/9/2020,WWTP,36.21826,-119.13634
WDR100029438,2019,233610,Jenny Lind Elementary School,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5S),Y,N,4/17/2020,WWTP RW,38.134,-120.86797
WDR100031282,2019,273119,Huron WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,5/13/2020,WWTP,36.206021,-120.10357
WDR100027542,2019,215698,Corcoran State Prison WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),Y,N,10/23/2020,WWTP RW,36.06023,-119.55285
WDR100036866,2019,214873,Clover Creek WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,9/4/2020,WWTP,36.605664,-118.750193
WDR100032932,2019,273183,Poplar WWTF,* WDR Site,CENTRAL VALLEY RWQCB (REGION 5F),N,NaN,6/29/2020,WWTP,36.04784,-119.1523
